Date,Austria,Belgium,Bulgaria,Czechia,Denmark,Finland,France,Germany,Ireland,Italy,Poland,Portugal,Romania,Spain
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,3,1,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,4,4,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,1,5,4,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,1,5,4,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,1,5,5,0,2,0,0,0,0
2020-02-01,0,0,0,0,0,1,6,8,0,2,0,0,0,1
2020-02-02,0,0,0,0,0,1,6,10,0,2,0,0,0,1
2020-02-03,0,0,0,0,0,1,6,12,0,2,0,0,0,1
2020-02-04,0,1,0,0,0,1,6,12,0,2,0,0,0,1
2020-02-05,0,1,0,0,0,1,6,12,0,2,0,0,0,1
2020-02-06,0,1,0,0,0,1,6,12,0,2,0,0,0,1
2020-02-07,0,1,0,0,0,1,6,13,0,3,0,0,0,1
2020-02-08,0,1,0,0,0,1,11,13,0,3,0,0,0,1
2020-02-09,0,1,0,0,0,1,11,14,0,3,0,0,0,2
2020-02-10,0,1,0,0,0,1,11,14,0,3,0,0,0,2
2020-02-11,0,1,0,0,0,1,11,16,0,3,0,0,0,2
2020-02-12,0,1,0,0,0,1,11,16,0,3,0,0,0,2
2020-02-13,0,1,0,0,0,1,11,16,0,3,0,0,0,2
2020-02-14,0,1,0,0,0,1,11,16,0,3,0,0,0,2
2020-02-15,0,1,0,0,0,1,12,16,0,3,0,0,0,2
2020-02-16,0,1,0,0,0,1,12,16,0,3,0,0,0,2
2020-02-17,0,1,0,0,0,1,12,16,0,3,0,0,0,2
2020-02-18,0,1,0,0,0,1,12,16,0,3,0,0,0,2
2020-02-19,0,1,0,0,0,1,12,16,0,3,0,0,0,2
2020-02-20,0,1,0,0,0,1,12,16,0,3,0,0,0,2
2020-02-21,0,1,0,0,0,1,12,16,0,20,0,0,0,2
2020-02-22,0,1,0,0,0,1,12,16,0,62,0,0,0,2
2020-02-23,0,1,0,0,0,1,12,16,0,155,0,0,0,2
2020-02-24,0,1,0,0,0,1,12,16,0,229,0,0,0,2
2020-02-25,2,1,0,0,0,1,14,17,0,322,0,0,0,6
2020-02-26,2,1,0,0,0,2,18,27,0,453,0,0,1,13
2020-02-27,3,1,0,0,1,2,38,46,0,655,0,0,1,15
2020-02-28,3,1,0,0,1,2,57,48,0,888,0,0,3,32
2020-02-29,9,1,0,0,3,3,100,79,1,1128,0,0,3,45
2020-03-01,14,2,0,3,4,6,130,130,1,1694,0,0,3,84
2020-03-02,18,8,0,3,4,6,191,159,1,2036,0,2,3,120
2020-03-03,21,13,0,5,6,6,204,196,2,2502,0,2,3,165
2020-03-04,29,23,0,8,10,6,285,262,6,3089,1,5,4,222
2020-03-05,41,50,0,12,10,12,377,482,6,3858,1,8,6,259
2020-03-06,55,109,0,18,23,15,653,670,18,4636,5,13,9,400
2020-03-07,79,169,0,19,23,15,949,799,18,5883,5,20,9,500
2020-03-08,104,200,4,31,35,23,1126,1040,19,7375,11,30,15,673
2020-03-09,131,239,4,31,90,30,1209,1176,21,9172,16,30,15,1073
2020-03-10,182,267,4,41,262,40,1784,1457,34,10149,22,41,25,1695
2020-03-11,246,314,7,91,442,59,2281,1908,43,12462,31,59,45,2277
